Kwh_equivalents;Start_time;End_time;Meter_id;Meter_IP
44;2011-07-01 00:00:00;2010-07-01 00:30:00;1;1.1.1.1
44;2011-07-01 00:30:00;2011-07-01 01:00:00;2;1.1.1.1
46;2011-07-01 01:00:00;2011-07-01 01:30:00;1;1.1.1.1
44;2011-07-01 01:30:00;2011-07-01 02:00:00;1;1.1.1.2
43;2011-07-01 02:00:00;2011-07-01 02:30:00;2;1.1.1.3
44;2011-07-01 02:30:00;2011-07-01 03:00:00;2;1.1.1.1
47;2011-07-01 03:00:00;2011-07-01 03:30:00;1;1.1.1.2
45;2011-07-01 03:30:00;2011-07-01 04:00:00;1;1.1.1.2
43;2011-07-01 04:00:00;2011-07-01 04:30:00;1;1.1.1.3
47;2011-07-01 04:30:00;2011-07-01 05:00:00;2;1.1.1.3
